ID,Entry,OriginalEmotion
241,çok sevdiğim arkadaşlarımın yanındayken ve ailemleyken mutlu olurum,Happy
242,yanımda kimse yoksa karanlıktan korkarım,Fear
243,otobüsü kaçırdığımda öfkelenirim,Anger
244,labları yapamayınca üzülüyorum,Sadness
245,kurbağalardan tiksinirim,Disgust
246,ders iptal olduğunda,Surprise
247,abimin oğlu olacağına çok sevindim. amca oluyorum,Happy
248,küçükken ilkokulda iğne olunacağı zaman çok korkmuştum,Fear
249,tınaztepe de insanlar insin diye otobüsten inip tekrar binemeyince çok öfkeleniyorum. Otobüs mü küçülüyor yoksa içerideki insanlar mı genleşiyor anlamıyorum,Anger
250,ev yaparken babamın ufak bir kaza geçirmesine çok üzüldüm,Sadness
251,eve gelen misafirin çocuğunun labtop tuşlarına sürekli basması,Disgust
252,meslek yüksek okulundan eski bir arkadaşım bana kendi telefonunu hediye edince çok şaşırmıştım,Surprise
253,Arkadaşımı Pes2015 oyununda yendiğim için çok mutluyum.,Happy
254,"Yağmurlu havada kaymıştım, düşmekten çok korkmuştum.",Fear
256,Tam evin kapısındayken evin anahtarını arabada unutunca çok üzüldüm.,Sadness
257,Böcekler!,Disgust
258,Ödevi yüklemeyi unuttuğuma çok şaşırdım.,Surprise
260,bu ürkme eylemleri daha çok korku filmleri izlerken olurdu.,Fear
262,bu olayı yaşadım çünkü caddeden geçen araba ona aniden çarptı. sonra çok üzülmüştüm,Sadness
263,odadayken arkadaşımın dağınıklığı moralimi bozardı ben de onu uyarırdım.,Disgust
265,Çocukluk hayalim olan Bilgisayar Mühendisliği bölümünü kazandığımda çok mutlu oldum.,Happy
266,Evde yalnız kaldığımda karanlıkta uyumaktan korkuyorum.,Fear
267,İnsanların arkamdan konuştuklarını öğrendiğimde çok öfkelendim.,Anger
268,Anneannem ve dedem vefat ettiğinde çok üzüldüm.,Sadness
269,Mutfakta gezinen hamam böceği görünce çok tiksiniyorum.,Disgust
270,Kötü geçtiğini düşündüğüm bir sınavdan yüksek not aldığımda şaşırdım.,Surprise
1002,eşim ve oğlumla birlikte gezmek benim için en güzel aktivitedir. Onlar yanımdayken çok mutluyum.,Happy
1003,Küçükken karanlıktan çok korkardım.,Fear
1004,Hak ettiğimiz atamaların yapılmaması beni çok sinirlendiriyor.,Anger
1005,Terk edilmiş çocukları gördüğümde içim acıyor.,Sadness
1006,Bozulmuş balık ceset gibi iğrenç kokar.,Disgust
1007,Eşimin odasını topladığını görünce çok şaşırdım çünkü her zaman odası çok dağınıktır.,Surprise
2002,Anne olacağımı öğrendiğimde çok mutlu olmuştum.,Happy
2003,Sevdiklerimi kaybetmekten korkarım.,Fear
2004,Arkadaşımın  yalan söylemesi beni çok öfkelendirdi.,Anger
2005,Fakir bir ailenin  evsiz kalışı canımı yaktı.,Sadness
2006,Garsonun ellerini görünce yemeği yiyemedim.,Disgust
2007,Cebimde unuttuğum parayı bulunca çok şaşırdım.,Surprise
2008,Emekli olmak benim için yeni ve güzel bir hayata yelken açmak demekti.,Happy
2009,Araba kazasından sonra bir daha direksiyona geçemedim.,Fear
2010,Kardeşimin benden habersiz arabamı alması ilişkimizin sıkıntıya girmesine sebep oldu.,Anger
2011,Babamın vefatı bende onarılmaz yaralar açtı.,Sadness
2012,Odamda gördüğüm hamam böceğinden tiksindim.,Disgust
2013,Çocukluk arkadaşımı karşımda görünce ne yapacağımı şaşırdım.,Surprise
2014,Bayramda çocuklarımı karşımda görünce mutlu oldum.,Happy
2015,Yaşlı arabamın motorundan gelen dumanlar kesilmeyince korktum.,Fear
2016,Kooperatif yöneticisinin açıkça hakkımızı yemesine çok  öfkelendim.,Anger
2017,Arabamın göz göre göre yanmasını çaresizce seyretmek beni üzdü.,Sadness
2018,Doğru bir insan olduğunu zannettiğim kişinin açıkça hak yediğini gördüğümde tiksindim.,Disgust
2019,İnsanların küçücük menfaatler için dün ak dediklerine bugün kara demeleri beni şaşırtıyor.,Surprise
2020,diktiğim fidanların baharla birlikte yemyeşil yapraklarla bezenmesi içimi mutlulukla doldurdu.,Happy
2021,Yağmurun ıslattığı ve kenarları kısmen kaymış toprak yoldan aşağıya arabamla korka korka inmeyi başardım.,Fear
2022,"Bahçenin kapısının çoban tarafından açılarak, yeni diktiğim ve henüz yapraklanmaya başlamış fidanlarımın hayvanlar tarafından yedirilmesi beni öfkelendirdi.",Anger
2023,Aşırı yağmurun bin bir zahmetle diktiğim sebzeleri sular içinde bırakmasına üzüldüm.,Sadness
2024,Piknik yapanların ağaçların arasına bıraktığı boş şişe ve poşetler içimi kararttı.,Disgust
2025,Bu mevsimde hiç durmadan akşam başlayan yağmurun sabaha kadar sürmesine şaşırdım kaldım.,Surprise
2026,"Yeğenlerimi alıp sevince çok mutlu oluyorum. Hele de kız bebeklerin tatlılığı içimi sarıp sarmalıyor. O masum ve musaffa gülüşlerin ileriki yaşlarını tahayyül ediyor ve onların yanında olmak arzusu duyuyorum. İlk veya son, hepsi de birbirinden tatlı, insana mutluluk veren çehreler olmuştur benim için.",Happy
2027,Ailem memlekete gittiğinde birkaç gün evde yalnız kalmıştım. O zaman zarfında özellikle gece uyumakta biraz zorlandım. Bir an ailemin olmadığı ev yaşantısını düşününce ürperdim. Bir an önce gelmelerini bekledim. Geceleri ses olmasa da hafif ürpermeler yaşadım.,Fear
2028,Öfkelenmekle elime hiçbir şey geçmeyeceği eğer varsa öfkemi zapt etmeye çalışırım. Aksi takdirde rahatlayamayacağımı düşünürüm.,Anger
2029,"Benim için neşe kaynağı olan, sevimli ve kocaman gözleriyle koşup duran köpeğimi kaybettiğimde içimde bir burukluk hissettim. Sevimli tavırlarıyla nasıl da severdim onu. İçimin sıkıldığı kimi zamanlarda sanki beni teselli etmek istercesine, aniden bana doğru koşardı. Evimde çoğu zaman yanımdan ayrılmayan bir arkadaş olmuştu.",Sadness
2030,Oda arkadaşımın dağınık olduğunu kırmadan söylemeye çalışırım. Bunu bıkkınlıktan değil kendi psikolojisini düzeltebilmesi için bir yerden başlaması gerektiğini belirtmek için söylemeye çalıştığım olmuştur.,Disgust
2031,"Özlem duygusunun yanı sıra askerlik süresince değişmiş bulduğum oğlumu ilk gördüğümde şaşakalmıştım. Zayıflamış, süzülmüş, suskun bir haldeydi. Acaba bizim bilmediğimiz acı olaylar mı yaşamıştı. Gözlerinin içine baktığımda bunu hissedebiliyordum. Birden benim de içimi bir hüzün ve keder sardı, oğlumu sımsıkı bağrıma bastım ve evin yolunu tuttuk. Eve vardığımızda onun acılarını yüreğimin sıcaklığıyla dindirmeye kararlıydım.",Surprise
2032,Kızım doğduğunda çok mutlu oldum.,Happy
2033,Kendi öfkemden korkuyorum. Gün gelip kendimi kaybedeceğimden.,Fear
2034,"Şehrime gelip ortalığı karıştıran, haraç kesmeye çalışan, hırsızlık yapan, uyuşturucu satan doğu kökenli şerefsizlere çok öfkeleniyorum.",Anger
2035,Şehit olan arkadaşlarımı düşününce üzülürüm.,Sadness
2036,Yemeğin içinden bir tutam halinde saç çıkması.,Disgust
2038,Üniversiteyi normal eğitim süresi içerisinde bitirdiğimde çok mutlu olmuştum.,Happy
2039,Çocukken mahalle arasında sokak köpekleri beni kovaladığında çok korkmuştum.,Fear
2040,Garanti süresi dolmadan önce arızalanan televizyonumun bakımını yapmaya isteksiz davranan yetkili servis personeline çok öfkelendim.,Anger
2041,Oğluma hiperaktif teşhisi konulduğu gün çok üzülmüştüm.,Sadness
2042,İş toplantıları için gittiğim Avrupa ülkelerindeki tuvaletlerde taharet musluğu olmamasından hoşlanmıyorum.,Disgust
2043,Aynı iş yerinde beraber çalıştığım erkek ve kız iki mühendis arkadaşın bir anda birbirleriyle evlilik kararı almalarına çok şaşırdım.,Surprise
2044,Kedi görünce mutlu oluyorum.,Happy
2045,Gece karanlığında ıssız bir yerden yalnız başına geçmektedir korkarım.,Fear
2046,Çocukların beni dinlememesine sinirleniyorum.,Anger
2047,Çok sevdiğim bir yazarla tanışamamak beni üzüyor,Sadness
2048,İş arkadaşımın tavırları beni rahatsız ediyor,Disgust
2049,Hiç beklemediğim bir sınavdan iyi not alınca  çok  şaşırdım.,Surprise
2050,Doktoranın bitmesi beni çok sevindirir,Happy
2051,10 Küçük Zenci'yi ilk okuduğumda evde tektik ve 12 yaşındaydım.,Fear
2052,Sırada beklerken önüme birisi geçtiğinde.,Anger
2053,Oyuncak tankımın namlusu kırıldığında.,Sadness
2054,Klozet kapağı kaldırılmadan işenmesi,Disgust
2055,Nargilesiz geçen bir hafta,Surprise
2056,Çevremdeki insanlar mutlu oldukça,Happy
2057,Ölüm,Fear
2058,Yalan konuşulduğu zaman,Anger
2059,Babamın ameliyat olduğu zaman,Sadness
2060,"Yılan, sümüklü böcek",Disgust
2061,Çikolata yemeyen insan gördüğümde,Surprise
2062,Yüzme yarışlarında iyi derece alınca çok seviniyorum.,Happy
2063,Evde yalnız kalmaktan korkarım.,Fear
2064,Ailem beni dinlemeyince çok öfkelenirim.,Anger
2065,İstediğim şeyleri yapamayınca üzülüyorum.,Sadness
2066,Arkadaşlarımın kirli elleriyle bana dokunması beni tiksindiriyor,Disgust
2067,Annem beklemediğim bir doğum günü hediyesi alınca şaşırdım.,Surprise
2068,Akademisyenliğe adım attığım ilk gün havalarda uçuyordum.,Happy
2069,Karanlık bir yerden geçerken karşıma aniden bir kedinin çıkmasıyla irkildim.,Fear
2070,Devlet büyüklerimizin halkı enayi yerine koyuyor olması beni cidden kızdırıyor.,Anger
2071,"Ben mezun olamadan dedemin vefat etmesi, beni derinden etkilemişti.",Sadness
2072,"Yazın, toplu taşıma araçlarında yolcuların ter kokusunu çekmekten nefret ediyorum.",Disgust
2073,Amerika'da olduğunu sandığım kuzenimi karşımda görünce şok oldum.,Surprise
2074,Çocuklar derslerde başarılı olunca çok mutlu olurum,Happy
2075,Arabayla kaza yaparım diye korkuyorum,Fear
2076,Yapılması gereken bir iş yapılmazsa öfkelenirim,Anger
2077,Babamın ölümü aklıma gelince üzüntüye boğuluyorum,Sadness
2078,İnsanlar birbirine yalakalık yapınca tiksinti duyarım,Disgust
2079,Yıllardır görmediğim arkadaşlardan telefon alınca şaşırdım,Surprise
2080,Anne olunca çok mutlu oldum.,Happy
2081,Toplu taşıma aracında gece bir tek bayan olarak yolculuk edince çok korktum.,Fear
2082,Arkadaşımın sebepsiz ihanetine çok öfkelendim.,Anger
2083,Kuzenim trafik kazasından sonra özürlü kalınca çok üzüldüm.,Sadness
2084,Lokantada bir müşteri kusunca midem bulandı.,Disgust
2085,Kötü geçen dersin sınavından geçince çok şaşırdım.,Surprise
2086,Geçen sene bölümümüz öğrencilerinini Tübitak yarışmasını kazanmasından çok mutlu oldum.,Happy
2087,Safra Kesesi Ameliyatı öncesinde gerçekten korkmuştum.,Fear
2088,Geçen hafta İstanbul'a gideceğim uçağın iptal edildiğini öğrenince çok öfkelendim.,Anger
2089,Yazları bizim bahçemize gelen kedi kaybolunca çok üzüldüm.,Sadness
