,Unnamed: 0,text,canonical
52,52,"Bir bakın belki ibret alır, bize poster/afiş diye paylaştıklarınızdan utanırsınız. :) @cukurdizi @ayyapim @ShowTV","bir bakın belki ibret alır , bize poster / afiş diye paylaştıklarınızdan utanırsınız . :) @çukürdizi @ayyapım @showtv"
53,53,"Kesin biz tanışana kadar evleneceğim adama burç, yükselen burç ve doğum saati muhabbetini çok yapıp adamı bıktıracak flörtleri. Ben fark yaratıp hiç sormayı düşünmüyorum. :)) Ben. Astrolog ben. Yormadan sormadan evlencem..","kesin bizi tanışana kadar evleneceğim adama burç , yükselen burç ve doğum saati muhabbetini çok yapıp adamı bıktıracak flörtleri . ben fark yaratıp hiç sormayı düşünmüyorum . :) ) ben . astrolog ben . yormadan sormadan evleneceğim . ."
54,54,Gönderdim :))))))))))))))),gönderdim :) ) ) ) ) ) ) ) ) ) ) ) ) ) )
55,55,"Aslında hayatımızda fazla bir değişiklik olmadı eskiden ,
MSN den arkadaş  yapardık 
Sonra FACE den devam ettik 
Daha sonrada Twitter derken Instagram üzerinden Master yaptık :-))) benim hayatımda pek fazla bir değişiklik olmadı :-)","aslında hayatımızda fazla bir değişiklik olmadı eskiden , msn den arkadaş yapardık sonra face den devam ettik daha sonrada twitter derken ınstagram üzerinden master yaptık :-) ) ) benim hayatımda pek fazla bir değişiklik olmadı :-)"
56,56,Aşko mu :D kaldiramazsin,aşk mu : d kaldıramazsın
57,57,Ne bileyim abim bu cemal aga üzerimde birşeyler deniyor ben anlamadım vallah kobay oldum öyle duruyorum :) :),nebileyim abim bu cemal ağa üzerimde birşeyler deniyor ben anlamadım valla kobay oldum öyle duruyorum :) :)
58,58,"Yani, iş tecrübesi ve yaptığı şey olarak abilerinin yanında toy diyelim :)","yani , iş tecrübesi ve yaptığı şey olarak abilerinin yanında toy diyelim :)"
59,59,Ederim bebiş :),ederim bebiş :)
60,60,Özden demi flört yapmış :),özden demi flört yapmış :)
61,61,7 hafta içerisinde çok güzel şeyler olcak :),7 hafta içerisinde çok güzel şeyler olacak :)
62,62,E-kitap daha pahalı  ve  sevmiyorum. Kitabın yerini tutmuyor bence :),e-kitap daha pahalı ve sevmiyorum . kitabın yerini tutuyor bence :)
63,63,ahahahhahahahahah :D:d.d.D Var'ını yoğunu sikeyim bunların :)))) …,ahahahhahahahahah : d : d . d . d varını yoğunu sikeyim bunların :) ) ) )   …
64,64,Kendi ailemden biliyorum ama :)),kendi ailemden biliyorum ama :) )
65,65,Sonunda devam ettirmesi gereken kisi...:),sonunda devam ettirmesi gereken kişi ... :)
66,66,bacaklarım güzeldir :)pic.twitter.com/TAJbEDVhTa,bacaklarım güzeldir :) piç . twitter.com/tajbedvhta
67,67,sevinsem mi üzülsem mi bilemedim yaşlıyım yahu :)) #NeverGiveUpOnMX7,sevinsem mi üzülsem mi bilemedim yaslıyım yahu :) ) #nevergiveuponmx7
68,68,İstiyorsunuz ki viraja 200 le girelim el freni çekelim ama bize bir şey olmasın :)),istiyorsunuz ki viraja 200 le girelim el freni çekelim ama bize bir şey olmasın :) )
69,69,Ne diyorsun ablacım siz kimsiniz :) neden engelliyim sizi küfür eden senin arkdaşın ona soyledim rahatsız oluyosa engellesin,ne diyorsun ablacım siz kimsiniz :) neden engelleyeyim size küfür eden senin arkadaşın ona söyledim rahatsız oluyorsa engellesin
70,70,"Bu hafta programı Kurtuluş’ta ev ortamında hazırladık. Dondik Hanım’ın gözünden kısa bir özet izlemek isterseniz, buyrun :)pic.twitter.com/xMjv2wuPGK","bu hafta programı kurtul’uşla ev ortamında hazırladık . dandik hanımın gözünden kısa bir özet izlemek isterseniz , buyrun :) piç . twitter.com/xmjv2wupgk"
71,71,"Tavşan dağa küsmüş, dağ demiş ki orda tavşan mı vardı :)","tavşan dağa küsmüş , dağ demiş ki orada tavşan mı vardı :)"
72,72,":) benim senin dediğine anlamsız bir muhalefet amacı gütmüyorum Ama bu gün kapalı kapılar ardında neler döndüğünü, kaç kızın aile yakınları tarafından istismar edildiğini bilemezsin. Batıda bu aşikar oluyor diye bizde olmuyor diyemezsin İşte sen bunu dersen işin içinden çıkamayız",":) benim senin dediğine anlamsız bir muhalefet amacı gütmüyorum ama bu gün kapalı kapılar ardında neler döndüğünü , kaç kızın aile yakınları tarafından istismar edildiğini bilemezsin . batıda bu aşikar oluyor diye bizde olmuyor diyemezsin işte sana bunu dersen işin içinden çıkamayız"
73,73,bazen ego iyidir :)),bazen ego iyidir :) )
74,74,"Metin Tekin Beşiktasli değil ki :)
Araştırın biraz güzel kardeşim",metin tekin beşiktaşlı değil ki :) araştırın biraz güzel kardeşim
75,75,Toprak neyse ki ben yokum :)),toprak neyse ki ben yokum :) )
76,76,Katılmıyorum hiç dağ görmediysen Konya'daki Alaaddin tepesini de dağ sanır insan ama ne olursa olsun ben everest i nerede olsa tanırım. :),katılmıyorum hiç dağ görmediysen konya'daki alaaddin tepesini de dağ sanır insan ama ne olursa olsun ben everesti nerede olsa tanırım . :)
77,77,Abi takip edip takipten çıkmaya devam edelim mi? :p,abi takip edip takipten çıkmaya devam edelim mi ? :p
78,78,Ya adam gariban anadolu çoçuğu sen inek diyorsun inek ne kadar senin haberin var mı :),ya adam gariban anadolu çocuğu sen inek diyorsun inek ne kadar senin haberin var mı :)
79,79,Seninle uğraşmak dan zevk alıyorum :),seninle uğraşmak dan zevk alıyorum :)
80,80,Toros da modifiye de çığır açmak gibi bişey olmuş :)  …,toros da modifiye de çığır açmak gibi bir şey olmuş :)   …
81,81,Saol :)),saol :) )
82,82,Bu da efsanelerden :) ne zaman önüme düşse hepsini izlerimpic.twitter.com/Ddm161kgjk,bu da efsanelerden :) ne zaman önüme düşse hepsini izlerimpic . twitter.com/ddm161kgjk
83,83,uzun muddet gormuyenden sonra :)),uzun müddet görmeyenden sonra :) )
84,84,"Bence deyince akan sular durur, Bence Klop hoca değil desem, kimse bisey diyemez mesela, ""Bence"" demisim bi kere :))","bence deyince akan sular durur , bence klüp hoca değil desem , kimse bir şey diyemez mesela , "" bence "" demişim bir kere :) )"
85,85,yok abi Kuduz ısıramasada salyası bulaşır falan hiç gerek yok :))))) size iyi seyirler,yok abi kuduz ısıramamada salyası bulaşır falan hiç gerek yok :) ) ) ) ) size iyi seyirler
86,86,"Neyse, bakalım bu kış kominizm gelecek mi? Bazı kafalar hala orada takılı kalmış :)","neyse , bakalım bu kış komünizm gelecek mi ? bazı kafalar hala orada takılı kalmış :)"
87,87,"Flörtöz bir ikizler bu duruma kaç gün dayanır bilemem. 
:)",flörtüz bir ikizler bu duruma kaç gün dayanır bilemem . :)
88,88,Bence 3 numara en iyisi :),bence 3 numara en iyisi :)
89,89,Ayşe’ye göndersene bunu :),ayşe’ye gönder bunu :)
90,90,Başka kime olacak :)),başka kime olacak :) )
91,91,Affan bey ben bir ara sigaraya başladım çok aşırı bir şekilde içiyordum sonra  bırakmaya karar verdim ve bir ay falan içmedim tamamen bıraktığımı düşünerek sevincimden bunu kutlamak için bir sigara yakmaya karar verdim ve o sigara ardından tekrardan içmeye başladım.. :)),affan bey ben bir ara sigaraya başladım çok aşırı bir şekilde içiyordum sonra bırakmaya karar verdim ve bir ay falan içmedim tamamen bıraktığımı düşünerek sevincimden bunu kutlamak için bir sigara yakmaya karar verdim ve o sigara ardından tekrardan içmeye başladım . . :) )
92,92," Mademki komik gülelim değil mi, senin açıklaman daha komik :))","mademki komik gülelim değil mi , senin açıklaman daha komik :) )"
93,93,Şimdi güzel anlaşıyoruz inşallah büyünce de anlaşırız :),şimdi güzel anlaşıyoruz inşallah büyünce de anlaşırız :)
94,94,Bu sayılmiyor di mi ? :),bu sayılmıyor di mi ? :)
95,95,Gerginlik yok!... :) Sosyal medyada dolaşan haberleri teyit etmeden paylaşmak başka insanları da yanlış yönlendiriyor. Dolayısıyla vebal de almış oluyoruz. Uyarmak istedim sadece. :),gerginlik yok ! ... :) sosyal medyada dolaşan haberleri teyit etmeden paylaşmak başka insanları da yanlış yönlendiriyor . dolayısıyla vebal de almış oluyoruz . uyarmak istedim sadece . :)
96,96,"Bu neki biz -20 'leri 30' lari gördük   Sivaslilar olarak kutup bölgesine gitsek hiç zorluk cekmeyiz sanırım :) 
#Başkan60BinÖğrtAtapic.twitter.com/GobsU26YA7",bu ne ki biz -20 ' lira 30 ' olur gördük sivaslılar olarak kutup bölgesine gitsek hiç zorluk çekmeyiz sanırım :) #başkan60binöğrtatapıc . twitter.com/göbsu26ya7
97,97,Nasıl güzel kafa yarebbimmm :))pic.twitter.com/OK7a7VbXBA,nasıl güzel kafa yarabbim :) ) piç . twitter.com/ok7a7vbxba
98,98,"çok uzun zamandır bu tarz ve 5g konularında alcateli dışarda bırakıyorsunuz, sebebi nedir :)))","çok uzun zamandır bu tarz ve 5g konularında alcateli dışarıda bırakıyorsunuz , sebebi nedir :) ) )"
99,99,Istanbula uğramıyor musunuz ?:),istanbula uğramıyor misiniz ? :)
100,100,Benim gibi hiç uğramayacaksın :),benim gibi hiç uğramayacaksın :)
101,101,Şeytan ayrı bişey abi ihyada mesela bidat ehline hakaret müstehap diyor :D,şeytan ayrı bir şey abi ihyada mesela bidat ehline hakaret müntehap diyor : d
102,102,Gül sen gülll :)))),gül sen gül :) ) ) )
103,103,"#BRISA
Yükselen trend başlamadan,5.70 civarındayken Lassa bayisinde,4 lastik iknasıyla anormal rakamlara 
 keklenmiş olduğumu evde anlayıp,Brisa ya yapıştım.Tahta yapıcının kızıp 5 tl kadar vermesiyle az bir miktarla  tüm lastiklerin parasını çıkarmışım.:) …","#brisa yükselen trend başlamadan , 5.70 civarındayken lassa bayisinde , 4 lastik iknasıyla anormal rakamlara keklenilmiş olduğumu evde anlayıp , brisa ya yapıştım . tahta yapıcının kızıp 5 tl kadar vermesiyle az bir miktarla tüm lastiklerin parasını çıkarmışım . :)   …"
104,104,Gezdirir birileriii :)),gezdirir birilerini :) )
105,105,"Mutluluk - aşk - kazanmak.
İyi şeyler görmüşüm :)",mutluluk - aşk - kazanmak . iyi şeyler görmüşüm :)
106,106,"Gördüğüm en sempatik Konyasporlu sen olabilirsin. Senin hatrına bazı hususlara girmeyeceğim, toparlarsınız bi şey olmaz. :))))","gördüğüm en sempatik konyasporlu sen olabilirsin . senin hatırına bazı hususlara girmeyeceğim , toparlarsınız bir şey olmaz . :) ) ) )"
107,107,:) bende,:) bende
108,108,Kırıcaz hep beraber :),kıracağız hep beraber :)
109,109,adamım benim sırf onun için  senin memleketine yerleşecem :)))))))))pislik pisanla oynamak için :)))))))))))))))))))))))))))),adamım benim sırf onun için senin memleketine yerleşeceğim :) ) ) ) ) ) ) ) ) pislik pisanla oynamak için :) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )
110,110,Anlayışla karşılayan var mı gerçekten? :),anlayışla karşılayan var mı gerçekten ? :)
111,111,Kadin ozentisi tro yoluna giden biri o :))) buna geliyor anlami asagi yukari.,kadın özentisi tr yoluna giden biri o :) ) ) buna geliyor anlamı aşağı yukarı .
112,112,"adamsınız harikasınız ya. çok güzeldi. bu kadar gururlandırırsan bizi göğsümüz kabarmaktan patlayacak. Umarım senin gibi ülkemizdeki diğer tüm insanlarda üzerine düşeni en iyi şekliyle yapar. Sen ister iyi ister kötü oyna, biz hep arkandayız(bazıları iki yüzlü ama onları s. et :D","adamsınız harikasınız ya . çok güzeldi . bu kadar gururlandırırsan bize göğsümüz kabarmaktan patlayacak . umarım senin gibi ülkemizdeki diğer tüm insanlarda üzerine düşeni en iyi şekliyle yapar . sen ister iyi ister kötü oyna , biz hep arkandayız ( bazıları iki yüzlü ama onları s. et : d"
113,113,Turu yo kesel o :),türü yo kesel o :)
114,114,Vallahi sadece çekildiğini ve yayınlandığını biliyorum :) netflix olduğunu bilmiyorum,vallahi sadece çekildiğini ve yayınlandığını biliyorum :) netflix olduğunu bilmiyorum
115,115,Senin durum istisna yaa seninkini hiçbirimiz sevmiyoruz  :))),senin durum istisna yaa seninkini hiçbirimiz sevmiyoruz :) ) )
116,116,bende youtubeda takılıyorum :))) #NeverGiveUpOnMX7,bende Youtube'de takılıyorum :) ) ) #nevergiveuponmx7
117,117,""" sn. Insan "" derdin ne 
Bu guzel insanlara hakkini helal etmm dyon :))",""" sn. insan "" derdin ne bu güzel insanlara hakkını helal etmem don :) )"
118,118,Eğitime harcanan para halka gösterilir prim bile yapılır üzerinden  keşke eğitime harcansaydı o paralar. Açıklansın bakalım mal varlıkları görelim paralar nereye gitmiş :),eğitime harcanan para halka gösterilir prim bile yapılır üzerinden keşke eğitime harcanılsaydı o paralar . açıklansın bakalım mal varlıkları görelim paralar nereye gitmiş :)
119,119,Bu tepkileri için Antalya taraftarına kızan/küfreden taraftarları görünce yazdım bunu. O stadı adamın başına yıkadık haklı olarak :),bu tepkileri için antalya taraftarına kızan / küfreden taraftarları görünce yazdım bunu . o stadı adamın başına yıkadık haklı olarak :)
120,120,Hayallerimle oynama :D,hayallerimle oynama : d
121,121,Yakışmıyor kalpazan bir devlet başkanına 56milyonluk yat TSK katarlılara 30 yıllığına kiralansın katar emirinin yatı hediye gelsin kalpazana :),yakışmıyor kalpazan bir devlet başkanına 56milyonluk yat tsk katarlılara 30 yıllığına kiralansın katar emirinin yatı hediye gelsin kalpazana :)
122,122,Çarptı artık çok geç ::)),çarptı artık çok geç : :) )
123,123,Atibayı izleyin :)) …,atibayı izleyin :) )   …
124,124,Şşş biz burdayız :)),şşş biz buradayız :) )
125,125,doğum günün  kutlu olsun reis seni sevenlerin kıymetini bil nice mutlu senelere :D,doğum günün kutlu olsun reis seni sevenlerin kıymetini bil nice mutlu senelere : d
126,126,tatlılığa bak yaa :D,tatlılığa bak yaa : d
127,127,"O değil de en alttaki şu yorum beni öldürdü gülmekten :)) ""belki düşer"" …","o değil de en alttaki şu yorum beni öldürdü gülmekten :) ) "" belki düşer ""   …"
128,128,"Ayıp ya! Ayıp ayıp @AtakanEfendi bey burda haber yapıyor. Milyonlar izliyor adamı, ayıp! 
Neysee sinirlenmiycekkk... :) #ÇokGüzelHareketler2pic.twitter.com/bcLWOp4lHf","ayıp ya ! ayıp ayıp @atakanefendi bey burada haber yapıyor . milyonlar izliyor adamı , ayıp ! neyse sinirlenmiycekkk ... :) #çokgüzelhareketler2piç . twitter.com/bçlwop4lhf"
129,129,İspat ediyor da anlayan yok :),ispat ediyor da anlayan yok :)
130,130,Dêrsimê özgü :),dêrsimê özgü :)
131,131,"Nasıl umutlu, “İradenin İyimserliği” :) …","nasıl umutlu , “ iradenin iyimserliği ” :)   …"
132,132,scarjonun kötü filmi olmaz zaten..:),scarjonun kötü filmi olmaz zaten . . :)
133,133,Ahahahaha hasar kaydı çıktı birader üste ne vercen :),ahahahaha hasar kaydı çıktı birader üste ne vereceksin :)
134,134,"Benimde görüşüm aynı kişilerle yolların ayrılması yönünde, sadece ramazan mı? Onur mu deseler. Onuru tereddütsüz tek geçerim :)","benimde görüşüm aynı kişilerle yolların ayrılması yönünde , sadece ramazan mı ? onur mu deseler . onuru tereddütsüz tek geçerim :)"
135,135,"Arkadaslar hepinize çok teşekkür ederim KAZANDIM :)))) 
Ama hava :))))",arkadaşlar hepinize çok teşekkür ederim kazandım :) ) ) ) ama hava :) ) ) )
136,136,Yarına ödev var mı mesajı atsan bile mutluluktan ağlardım ama haberin yok :D,yarına ödev var mı mesajı atsan bile mutluluktan ağlardım ama haberin yok : d
137,137,Bağımlılık yapan maddeler değil sensin :),bağımlılık yapan maddeler değil sensin :)
138,138,Bi de giydiklerimize bulunduğumuz ortama göre falan :D,bir de giydiklerimize bulunduğumuz ortama göre falan : d
139,139,"Bilim,Din,Felsefe,Tarih,Biyoloji :) he bide pazar günü :) tertemiz bekar :)pic.twitter.com/Yc5KpLO5pg","bilim , din , felsefe , tarih , biyoloji :) he bide pazar günü :) tertemiz bekar :) piç . twitter.com/yç5kplo5pg"
140,140,Aynen doğrudur. Pes serisinden de iyiydi Winning Eleven serisi bence o nedenle onu diğerlerinden ayırdım :),aynen doğrudur . pes serisinde de iyiydi Winn'ine eleven serisi bence o nedenle onu diğerlerinden ayırdım :)
141,141,Ceku the dombili yapicam insta hesabini az kaldi :Dpic.twitter.com/787QQF0pKx,çek the kombili yapacağım inşa hesabını az kaldı : piç . twitter.com/787qqf0pkx
142,142,"Star wars fantastik bence, bilim kurgu değil :)","star wars fantastik bence , bilim kurgu değil :)"
143,143,Anladım . O zaman sana kolay gelsin :),anladım . o zaman sana kolay gelsin :)
144,144,Bizde böyle çok arkadan koymuştuk daha etkili oluyor :) …,bizde böyle çok arkadan koymuştuk daha etkili oluyor :)   …
145,145,Bizim sokaktan bozacı geçiyor! Tıpkı çocukluğumdaki gibi sesleniyor ama azıcık şiveli :),bizim sokaktan bozacı geçiyor ! tıpkı çocukluğumdaki gibi sesleniyor ama azıcık şiveli :)
146,146,"seviyorum eski menşınlara gitmeyi, güzel laflar geçmiş :)","seviyorum eski mensınlara gitmeyi , güzel laflar geçmiş :)"
147,147,"Millete hizmetkar olmaya gelmişlerdi :)
Sağ şeridi boşaltın vekil geliyorpic.twitter.com/9siyuzu5nA",millete hizmetkar olmaya gelmişlerdi :) sağ şeridi boşaltın vekil geliyorpiç . twitter.com/9siyüzü5na
148,148,Bir yiğidi ancak bir yiğit yetiştirirdi zaten :)),bir yiğidi ancak bir yiğit yetiştirirdi zaten :) )
149,149,Evet olabilir.:))),evet olabilir . :) ) )
150,150,Ama sen bilmiyorsun ben seninle oynamam :)),ama sen bilmiyorsun ben seninle oynamam :) )
151,151,"Onca kalabalığın arasında, yerini bildiğim tek şeysin :)","onca kalabalığın arasında , yerini bildiğim tek şeysin :)"
152,152,Ne kadar incesiniz  :) ...............,ne kadar inçesiniz :) ... ... ... ... ...
153,153,Hayallerimizde bile rahat yok ya :D,hayallerimizde bile rahat yok ya : d
154,154,Deist olmasak da okuyalım mı hocam :),deist olmasak da okuyalım mı hocam :)
155,155,Sen 20lersin inanıyorum sana :),sen 20lersin inanıyorum sana :)
156,156,hala gidip şöyle şeyler alıyorum:)) kedi zannedip aldım penguenmiş :))pic.twitter.com/ltlao1TVMC,hala gidip şöyle şeyler alıyorum :) ) kedi zannedip aldım penguenmiş :) ) piç . twitter.com/ltlao1tvmc
157,157,Deniz hocam 100 USD çekilişi ne durumda RT 71'de takıldı :),deniz hocam 100 usd çekilişi ne durumda rt 71'de takıldı :)
158,158,"Xəritənin yuxarısında yazılıb ""Soviet Russia"". :)","xəritənin yuxarisinda yazılır "" Sovyet russia "" . :)"
159,159,Birazdan telif yersin :D,birazdan telif yersin : d
160,160,"Dikkat et :) çarpmasın
Bünyeye dokunur :))
Bir kelam/Bir tebessüm bıraktım",dikkat et :) çarpmasın bünyeye dokunur :) ) bir kelam / bir tebessüm bıraktım
161,161,öteki sunum konumu buldum sanırım :),öteki sunum konumu buldum sanırım :)
162,162,Sahneeeyt :-) (@ Kumbara Performance Hall in Muğla) ,sahneeeyt :-) ( @ kumbara performance hall ın muğla )  
163,163,3 lostun üstüne :) kurtardı bizi,3 lostun üstüne :) kurtardı bizi
164,164,Ama sen diyorsun ki kerem şeytanlığını görelim :),ama sen diyorsun ki kerem şeytanlığını görelim :)
165,165,Eli kulaginda o zaman :),eli kulağında o zaman :)
166,166,Twitırdan savaş çıkarıcaklar aq :D,twitirdan savaş çıkaracaklar aq : d
167,167,İyi mutluluk dizi :),iyi mutluluk dizi :)
168,168," — Teşekkür ederim, görüşürüz o zaman :D …","— teşekkür ederim , görüşürüz o zaman : d  …"
169,169,Üç ay üç sene gibi geldi çok doluyum abi çok :),üç ay üç sene gibi geldi çok doluyum abi çok :)
